size,Animals,Fungi,Plants,Protists
516,1,0,0,0
517,6,0,0,0
518,6,0,0,0
519,0,1,0,0
521,0,1,0,0
522,5,1,0,0
523,1,2,0,0
524,2,2,0,0
525,2,2,0,0
526,0,1,0,0
527,5,2,0,0
528,6,3,0,0
529,2,1,0,0
530,1,0,0,0
531,3,1,0,0
532,0,1,0,0
533,4,0,0,0
534,3,0,0,0
535,1,0,0,0
536,1,0,0,0
537,1,0,0,0
538,1,0,0,0
539,0,1,0,0
540,1,2,0,0
541,1,1,0,0
542,1,2,0,0
543,0,2,0,0
544,1,2,0,0
545,1,0,0,0
547,0,0,1,0
548,1,0,0,0
550,0,1,0,0
551,2,0,0,0
552,1,0,0,0
553,0,1,0,0
554,1,1,0,0
555,1,2,0,0
556,1,0,0,0
558,1,0,0,0
559,0,2,0,0
561,0,1,0,0
563,2,2,0,0
564,1,0,0,0
565,1,0,0,0
566,1,1,0,0
567,2,1,0,0
568,1,0,0,0
569,1,0,0,0
572,1,2,0,0
574,1,1,0,0
575,0,1,0,0
576,1,3,0,0
577,1,0,0,0
578,1,0,0,0
579,2,1,0,0
580,1,0,0,0
582,1,0,0,0
583,3,0,0,0
584,1,3,0,0
585,1,1,0,0
586,0,2,0,0
587,0,1,0,0
589,0,1,0,0
590,0,1,0,0
591,2,1,0,0
593,1,0,1,0
594,1,0,0,0
595,1,0,0,0
596,2,0,0,0
598,2,0,0,0
599,1,0,0,0
600,1,1,0,0
602,2,0,0,0
603,1,0,0,0
604,2,0,0,0
606,1,1,0,0
607,1,0,0,0
608,0,1,0,0
611,2,0,1,0
613,3,0,1,0
614,1,0,0,0
616,2,1,0,0
617,1,1,0,0
618,1,0,1,0
619,3,0,0,0
620,2,0,0,0
621,1,0,0,0
622,0,0,1,0
623,2,0,0,0
625,2,0,0,0
626,2,0,0,0
628,1,0,0,0
629,3,0,0,0
633,1,0,1,0
634,1,0,1,0
635,1,0,1,0
636,1,0,0,0
637,2,0,0,0
638,2,0,1,0
639,1,0,1,0
640,0,0,1,0
641,1,0,0,0
642,2,0,1,0
643,2,0,1,0
644,1,0,1,0
645,1,0,0,0
646,1,0,1,0
647,3,0,3,0
650,3,0,1,0
651,1,0,1,0
652,1,0,3,0
653,0,0,1,0
654,1,0,2,0
655,0,0,1,0
656,0,0,2,0
658,3,0,0,0
659,0,0,3,0
660,2,0,4,0
661,2,0,5,0
662,0,0,1,0
663,3,0,0,0
664,2,0,2,0
665,0,0,4,0
666,2,0,1,0
667,1,0,2,0
668,0,0,3,0
669,0,0,5,0
670,0,0,5,0
671,2,0,7,0
672,2,0,6,0
673,0,0,6,0
674,1,0,4,0
675,0,0,19,0
676,1,0,9,0
677,2,0,5,0
678,0,0,1,0
679,1,0,2,0
680,4,0,0,0
681,1,0,1,0
682,0,0,1,0
683,2,0,0,0
684,3,0,0,0
685,3,0,0,0
686,2,0,0,0
687,1,0,0,0
689,1,0,0,0
692,1,0,0,0
693,4,0,0,0
695,4,0,0,0
696,3,0,0,0
697,4,0,0,0
698,4,0,0,0
699,4,0,0,0
700,10,0,0,0
701,5,0,0,0
702,9,0,0,0
703,8,0,0,0
704,19,0,0,0
705,19,0,0,0
706,7,0,0,0
707,6,0,0,0
708,4,0,0,0
709,4,0,0,0
710,20,0,0,0
711,6,0,0,0
712,17,0,0,0
713,9,0,0,0
714,10,0,0,0
715,4,0,0,0
716,5,0,0,0
717,3,0,0,0
718,8,0,0,0
719,4,0,0,0
721,2,0,0,0
723,1,0,0,0
724,2,0,0,0
726,1,0,0,0
757,1,0,0,0
